kddept;nmdept;kdunit;nmunit;kddekon;nmdekon;kdsatker;nmsatker;kdfungsi;nmfungsi;kdsfung;nmsfung;kdprogram;nmprogram;kdgiat;nmgiat;kdoutput;nmoutput;kdsoutput;nmsoutput;kdkmpnen;nmkmpnen;kdskmpnen;nmskmpnen;kdakun;nmakun;bkpk;kdsdana;nmsdana;kdbeban;register;noitem;nmitem;volkeg;satkeg;hargasat;komponen_pendukung;pagu; hasil_reviu_konsolidasi_baru ;Netto;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525113;Belanja Jasa;5251;06;BLU;F;;1;Jasa Publikasi Media;1;TAHUN;199800000;; 199.800.000 ; -   ; 199.800.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;1;Paket Fullboard DKI Jakarta;100;OH;1197000;; 119.700.000 ; 37.346.000 ; 82.354.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;2;Uang Harian Fullboard DKI Jakarta;150;OH;130000;; 19.500.000 ; 6.084.000 ; 13.416.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;3;Uang Transportasi DKI Jakarta;50;OK;170000;; 8.500.000 ; 2.652.000 ; 5.848.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;4;Biaya Penginapan Perjalanan Dinas Biasa;44;OH;812728;; 35.760.000 ; 11.157.000 ; 24.603.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;5;Uang Harian Perjalanan Dinas Biasa;66;OH;253819;; 16.752.000 ; 5.227.000 ; 11.525.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;BMB;Komunikasi Publik;Z02;Strategi Komunikasi Lembaga Dana Kerja Sama Pembangunan Internasional;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525115;Belanja Perjalanan;5251;06;BLU;F;;6;Uang Transportasi Perjalanan Dinas Biasa;22;OK;2112182;; 46.468.000 ; 14.498.000 ; 31.970.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;CAN;Sarana Bidang Teknologi Informasi dan Komunikasi;401;Perangkat Pengolah Data dan Komunikasi;100;Tanpa Komponen;TK;HARDWARE LAINNYA;537112;Belanja Modal Peralatan dan Mesin;5371;06;BLU;F;;1;UPS;1;UNIT;268197000;Utama; 268.197.000 ; -   ; 268.197.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;EBA;Layanan Dukungan Manajemen Internal;401;Rekomendasi Pengelolaan Organisasi dan Kinerja;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525112;Belanja Barang;5251;06;BLU;F;;1;KDM - Kudapan Rapat Biasa;1800;OK;22000;Utama; 39.600.000 ; -   ; 39.600.000 ;
015;KEMENTERIAN KEUANGAN;07;Ditjen Pengelolaan Pembiayaan dan Risiko;1;Kantor Pusat;455401;LEMBAGA DANA KERJA SAMA PEMBANGUNAN INTERNASIONAL;1;PELAYANAN UMUM;2;BANTUAN LUAR NEGERI;WA;Program Dukungan Manajemen;6389;Pelaksanaan Tugas  Khusus (Special  Mission) Pengelolaan  Dana Kerja Sama  Pembangunan  Internasional;EBA;Layanan Dukungan Manajemen Internal;401;Rekomendasi Pengelolaan Organisasi dan Kinerja;100;Tanpa Komponen;A;TANPA SUB KOMPONEN;525112;Belanja Barang;5251;06;BLU;F;;2;KDM - Makan Rapat Biasa;900;OK;48000;Utama; 43.200.000 ; 8.640.000 ; 34.560.000 ;
